,Unnamed: 0,station_name,place_name,author_name,rating,text,time,Language,Sentiment,Sentiment_Score,Latitude,Longitude,assigned_district,daerah,projected_population
1267,1267,BANDAR KLANG,BHPetrol Persiaran Sultan Ibrahim,Tan Meijing,5,"Great service, manager is very friendly. Will support & go to this petrol station more often for petrol from now on.",1629278168,en,very positive,0.7779267430305481,3.048608,101.454378,"Klang, Selangor","Klang, Selangor",1173504.1337432072
1268,1268,BANDAR KLANG,BHPetrol Persiaran Sultan Ibrahim,Hafiz Thiru,5,Always friendly staff. Especialy the boss son,1672579247,en,very positive,0.5627855062484741,3.048608,101.454378,"Klang, Selangor","Klang, Selangor",1173504.1337432072
1269,1269,BANDAR KLANG,BHPetrol Persiaran Sultan Ibrahim,Nurlissa Erinna,5,great service! All staff were very friendly👍🏻👍🏻👍🏻,1632550409,en,very positive,0.8201577067375183,3.048608,101.454378,"Klang, Selangor","Klang, Selangor",1173504.1337432072
1270,1270,BANDAR KLANG,Petronas | Jalan Batu Tiga Lama | Bandar Klang,John Weaver,5,"Great garage to fill car staff on hand to help,can also top up touch and go cards",1715512277,en,very positive,0.7149591445922852,3.048608,101.454378,"Klang, Selangor","Klang, Selangor",1173504.1337432072
1271,1271,BANDAR KLANG,Petronas | Jalan Batu Tiga Lama | Bandar Klang,Shah Mahal Rabinder Abdullah,3,"Small & quite petrol station away from the main highway, which is strategically located before entering Klang town.",1692501341,en,neutral,0.3320542573928833,3.048608,101.454378,"Klang, Selangor","Klang, Selangor",1173504.1337432072
1272,1272,BANDAR KLANG,Petronas | Jalan Batu Tiga Lama | Bandar Klang,Loganathan79 Loganathan79,1,The staff at counter ( Banglaman) and lady not even smile and greet custermor . Always shows thier angry face!!!!,1631097185,en,very negative,0.5408623218536377,3.048608,101.454378,"Klang, Selangor","Klang, Selangor",1173504.1337432072
1273,1273,BANDAR KLANG,Petronas | Jalan Batu Tiga Lama | Bandar Klang,Ruhaifi Johari,5,simple but nice...big space to park cars and do quick shopping,1627831289,en,positive,0.5489024519920349,3.048608,101.454378,"Klang, Selangor","Klang, Selangor",1173504.1337432072
1274,1274,BANDAR KLANG,Petronas | Jalan Batu Tiga Lama | Bandar Klang,suheyr yedmen,1,The toilet is very teribble. The water came out from the rooftop,1660182015,en,negative,0.4923385083675384,3.048608,101.454378,"Klang, Selangor","Klang, Selangor",1173504.1337432072
1275,1275,UPM SERDANG,Petronas Sri Serdang,Kelakar Apa Hari Ini,1,"Stupid owner.. im buying so many goods almost rm200 using card, but ciggaretes cant included.. only cash.. he/she doesnt know how to business with cigarretes supplier maybe.. stupid",1714202609,en,very negative,0.7787092328071594,3.011001,101.72095,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1276,1276,UPM SERDANG,Petronas Sri Serdang,RO Note4,2,"Dirty toilet. Only 1 surau to be shared with male & female. Surau door couldn't be locked from inside if female is praying inside.

Unlike other petronas stations which are more cleaner and proper.",1691235173,en,negative,0.5005475878715515,3.011001,101.72095,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1277,1277,UPM SERDANG,Petronas Sri Serdang,Naz here,5,Normal,1718542361,en,neutral,0.383970558643341,3.011001,101.72095,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1278,1278,UPM SERDANG,Petronas Sri Serdang,Ritt Ahmad Al Syahab,5,"Small yet performing at its best in terms of sevice, Clean, ample and fast too, by the way emergency food and drinks is always available",1669201252,en,positive,0.4981558620929718,3.011001,101.72095,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1279,1279,UPM SERDANG,Petronas Sri Serdang,Ritt Syahab,4,"A petrol station with a great service altough limited space is all they got.
Nevertheless location is always the key factor to deliver the best.",1669909138,en,positive,0.5984552502632141,3.011001,101.72095,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1280,1280,BT. 14 PUCHONG,Petronas,Besar Gator,4,"Easily accessible as it is situated just beside the LDP highway. Rather spacious. It has 2 CIMB ATMs, 2 Maybank ATMs and a CDM. The convenient store also sells warm pau and corns.",1488738080,en,positive,0.6074931621551514,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1281,1281,BT. 14 PUCHONG,Petronas,Lim Lipsoon,4,"Staff friendly, toilet clean but abit small",1708495210,en,neutral,0.4500295221805572,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1282,1282,BT. 14 PUCHONG,Petronas,WC HIEW,4,"This petronas petrol station provides not only fuel pump services, you can also manage to obtain some Atm and cash bank in (Maybank and Cimb) services here. People from bukit puchong, puchong utama and kampung batu 14 used to come here for its bank services since there is no bank surrounding this area. Now, this petrol station even acts as a drop off point for online lazada seller.",1527154486,en,very positive,0.5964927077293396,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1283,1283,BT. 14 PUCHONG,Petronas,Darussalam Baharom,5,Excellent services both at the counter and at the pump islands. Never experienced mistakes made by their staff so far.,1715002507,en,very positive,0.8663751482963562,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1284,1284,BT. 14 PUCHONG,Petronas,Farihan Khairul,5,"Easy for me, coz they're have ATM machine Cimb and Maybank... Otherwise next to LDP highway.. Public toilet also clean.. Friendly staff.",1628589269,en,positive,0.4970958530902862,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1285,1285,BT. 14 PUCHONG,BHPetrol,Honeys Bella,5,"I really love this BHP Station because of the service and of course the karipap there!
U can come to this station and try put their karipap.

And yes their staff are friendly!
Go and find Miss Asyikin. Such a kind hearted person.",1715676350,en,very positive,0.8775800466537476,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1286,1286,BT. 14 PUCHONG,BHPetrol,krishnasamy samy,3,"Place to refill your car or lorry fuels. Inside they sell drinks, snacks n other items. Hv 1 cimb ATM machine and cool blog station. They hv their signature snacks, their karipap.",1679801154,en,very positive,0.6454023718833923,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1287,1287,BT. 14 PUCHONG,BHPetrol,Pang KokLeong,5,"best service
our Bangladesh brothers who worked hear are very helpful and kind. they saw me in trouble and helped me and do not want any reward. the tall boss gave me huge tissue paper.",1618275924,en,very positive,0.9033234119415284,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1288,1288,BT. 14 PUCHONG,BHPetrol,Gene Bateman,4,Not so much crowd so buying things or filling up petrol is quite easy. No waiting and paying is easy. Parking I'd easy. There are variety of things. The price is quite reasonable.,1594089420,en,neutral,0.5796847939491272,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1289,1289,BT. 14 PUCHONG,BHPetrol,Mr Garn,5,"BHP Petrol Station

Automated Teller Machine

Toilet

Convinience store

Serve the community around here very well

Well Done Boss 👍",1662179067,en,very positive,0.5896924138069153,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1290,1290,BT. 14 PUCHONG,Caltex,JSK wawasan,1,"6.15 am still never open. Lady staff just came in, rudely say cant use, will take time as they just open the key. The bangladesh employee with full impunity just went and opened 1 diesel station number 9 and walk off. Kindly reaching to the owners or the managers, this is a highway petrol station. Operation hours given very clearly by the KDNKK and the associations. Its realy a downner for an avid Caltex loyal customers and a violation. Pls look into the operating hours.",1720046822,en,very negative,0.6767860651016235,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1291,1291,BT. 14 PUCHONG,Caltex,かじるYK,5,"Service here is great. Cashier's really did a good job with his/her work and at explanation when it's comes to using Caltex Go apps for the first time like myself.

Really deserves a 5 star from me.",1704874050,en,very positive,0.8503820300102234,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1292,1292,BT. 14 PUCHONG,Caltex,Jie Toh,5,Most of the time no need to queue for petrol pump or tyre pump... but sometimes may get annoyed when people visiting the family mart but blocked one of the petrol pump...,1668406984,en,neutral,0.3814133405685425,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1293,1293,BT. 14 PUCHONG,Caltex,Joy Liew,1,So far the station is quite convinient but I suggest that you should have some staff that can help to clean the car mirror instead of just hired someone that just talking other and walking around and do nothing. I personally experience that the staff doesn't know how to do anything. I tried ask him to help change the wiper but he told me that he doesn't know. Well it makes a big different if there's staff that can automatically give service like cleaning the car mirrors and basic car knowledge.,1584018221,en,neutral,0.5219088196754456,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1294,1294,BT. 14 PUCHONG,Caltex,Ainul Bakri,5,Petrol station with a Family Mart convenience shop,1716855471,en,very positive,0.4014539420604706,2.988889,101.622694,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1295,1295,SRI KEMBANGAN,Petron,Shanthi Vasikaran,1,Came here for auto car wash.. too much chemical used caused my driver side mirror shattered right after came out from the auto car wash. The staff there did not really bothered on the damaged and continued to vacumn n wipe. Even the outcome after does not satisfying as time to time i have to check and call them to clean wipe. Overall a dissatisfied customer.,1545277149,en,very negative,0.5200898051261902,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1296,1296,SRI KEMBANGAN,Petron,Abdullah Omar,4,"You can chill inside and eat something, the air conditioning is really good! Good place to take a rest..",1674475101,en,positive,0.5287528038024902,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1297,1297,SRI KEMBANGAN,Petron,Steve Siew,1,"Not recommend to go, staff doesn't know the system to claim voucher bought and blame system down.",1697336113,en,very negative,0.7376790642738342,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1298,1298,SRI KEMBANGAN,Petron,BOB LIM,4,"Nice petrol station have nice snack inside. Nasi lemak for only RM1. 60 only. There is a microwave oven self service to heat up your food like nasi lemak and pastries.There are also coffee and tea available other than dry groceries.

Nice round aluminium table and chair for you to sit and finish your snacks and drink.

While outside,  nicely space petrol pump for you to refill. Good fuel available at Petron and greater mileage as share by my friends too. The staff here at Petron are polite.
Petron is the nearest petrol fuel filling station just opposite to South City",1582702745,en,positive,0.6256784796714783,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1299,1299,SRI KEMBANGAN,Petron,Aidyl Lydia,4,"Everything like other petrol pam, only the toilet.

Its difficult if we need to share toilet with different gender.",1658404006,en,neutral,0.4176870882511139,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1300,1300,SRI KEMBANGAN,Caltex Jalan Besar,Syahril Aril,5,"Good station, good fuel, good service staff,very soft spoken&station was look very clean&convenience since FM in this station..",1703394092,en,positive,0.5408368706703186,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1301,1301,SRI KEMBANGAN,Caltex Jalan Besar,R. Nazrin Khan,3,"The family mart inside this petrol kiosk should have a drive-thru with promotion,  so to advertise.
Their coffee is awesome,  love it",1651823920,en,very positive,0.790029764175415,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1302,1302,SRI KEMBANGAN,Caltex Jalan Besar,Khalis,3,It's no longer an Esso petrol station..it has been renamed to Petron..in fact all Esso petrol stations in Malaysia have been renamed to Petron due to ExxonMobil selling off their downstream business in 2012,1384935030,en,very negative,0.5679842829704285,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1303,1303,SRI KEMBANGAN,Caltex Jalan Besar,Raymond Niyur,5,Caltex Petrol station. Just changed to new operator since last year. Most of the time now station a bit quiet with very few vehicles coming in and out nowadays.,1551960008,en,positive,0.5305936932563782,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1304,1304,SRI KEMBANGAN,Caltex Jalan Besar,Irene Wcy,1,"This is a stingy caltex I think , I used to come here to fuel up my car but the air pump never want to be repair for 1 year",1681438959,en,very negative,0.5211486220359802,3.025912915,101.714294,"W.P. Putrajaya, W.P. Putrajaya","W.P. Putrajaya, W.P. Putrajaya",123483.132717329
1305,1305,R&R ULU BERNAM,Petronas R&R Ulu Bernam SB,Shanoor CD,5,Gas station located at R&R Ulu Beram. Easy to find and park. Big place with many feul pumps for petrok and deisel. There is a convenient store and also wash room facility. Staff are friendly and quick to assist.,1704603074,en,very positive,0.6142532825469971,3.663211,101.520589,"Muallim, Perak","Muallim, Perak",81424.28046629245
1306,1306,R&R ULU BERNAM,Petronas R&R Ulu Bernam SB,Ibnu Taib Alhaj,5,"Good product and service.
Clean and tidy.",1725385248,en,positive,0.5232620239257812,3.663211,101.520589,"Muallim, Perak","Muallim, Perak",81424.28046629245
1307,1307,R&R ULU BERNAM,Petronas R&R Ulu Bernam SB,Toenof Moegan,5,"Thanks to Petronas Ulu Bernam..
I spent one night in this place and sleep at surau, because my tyre flat need to wait until morning..
Have starbukcs and dunkin donut nearby, just side by side..
Toilet and surau isvery clean and comfortable, also well maintained..
But i left my cap, maybe at the surau..
Hope can see you again..",1635669920,en,neutral,0.3427594602108001,3.663211,101.520589,"Muallim, Perak","Muallim, Perak",81424.28046629245
1308,1308,R&R ULU BERNAM,Petronas R&R Ulu Bernam SB,Leong Leong,4,#starbucks here the main objective for us to stop by. just for a cuppa. this cart provides your usual dose of caffeine. the #kawkaw with 5 shots of expresso was mind blowing #starbucksulubernam,1550056072,en,positive,0.3441219329833984,3.663211,101.520589,"Muallim, Perak","Muallim, Perak",81424.28046629245
1309,1309,R&R ULU BERNAM,Petronas R&R Ulu Bernam SB,Jacob Yoon,4,"There’s a Starbucks here now, perfectly situated in within the Petronas’s metro grocery stall.

If you’re looking for a place to sit down and relax after a long hour’s drive , feel free to take this opportunity to have a sip of coffee here. Oh yes; there’s also a Dunkin Donuts at the side of the petrol station.",1536757683,en,very positive,0.4148740768432617,3.663211,101.520589,"Muallim, Perak","Muallim, Perak",81424.28046629245
1310,1310,USJ 6,Shell,Linc Liew (Linc),1,"Air pump station nozzle exploded. The fastener broke and hit my leg at 220 Psi. Gonna leave a scar. Luckily didn't pierce my eyes.

Good luck using this station, damn dangerous. Too reckless. Use the other Shell down the road, that one has a convenience store too.",1703243849,en,very negative,0.7009838223457336,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1311,1311,USJ 6,Shell,.,1,One of Bangla staff don’t even know how to use voucher coupons payment,1724488478,en,very negative,0.4404712617397308,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1312,1312,USJ 6,Shell,DeZs Sim,1,"Closed when should be open 24hours. So until that is restored as per Shell's official website, it stays with 1 star.",1682246791,en,very negative,0.968481719493866,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1313,1313,USJ 6,Shell,Andrew Beh Jian Yuan,3,Had a quick stop there while waiting for a friend to arrive. A decent place and usual spot for a petrol station.,1477352989,en,positive,0.5177949070930481,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1314,1314,USJ 6,Shell,G K Ho,2,Not a good petrol station please at least have 1 local staff to guide those foreign worker.,1668735703,en,very negative,0.5828359127044678,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1315,1315,USJ 6,Petronas USJ 6,Chin Did Jian,5,"Nice & quiet corner. The road is easy to turn in and out. There is some nearby parking if you want to run your errands at Taipan. Friendly, trusting staff.",1715617535,en,positive,0.6414132714271545,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1316,1316,USJ 6,Petronas USJ 6,Ervanz Casper Aiman,2,"Difficult to buy anything in Mesra Shop, when used the eMadani via Touch n Go e-Wallets. I'm try to used balance of eMadani, balance of e-Wallet TnG appear as below:

Government Credit: RM2.30
(e-Madani Wallets)
Touch n Go e-Wallets: RM7.46
Non-Transferable Balance: RM0.20

GRANDTOTAL: RM9.96.

I was trying to finish it before end of this month (February) to buy 1 a snack Cheezels RM2.50 (promotion when scanning appear RM2.20) at Mesra Shop at Petronas Station unfortunately i cannot buy that because this cashier person name Md Monirul (imported from Bangladeshi) said the payment from eMadani cannot accepted and i should paid via cash or by debited bank card. I was frustrated and disappointed.",1707670628,en,very negative,0.5751223564147949,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1317,1317,USJ 6,Petronas USJ 6,Anep Sulong,5,"Fast moving petrol station, always busy and on the run. Staffs are always friendly and try their best to tend to you when they can despite the busy schedule.

Their toilet undergo-ed a small renovation to improve the services and I can say its much better now than before. Not a massive change but a noticeable one.

Their person in charge is also very friendly as he attended to me when I needed help with my Touch N GO E-wallet application.

Would highly recommend.",1673511887,en,positive,0.6281057000160217,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1318,1318,USJ 6,Petronas USJ 6,Haiqal Razak,5,"Large station. Well lighted. Friendly staffs. Best part for all Malaysians, has a variety of food products! Breakfast is the best time !

👍",1670680248,en,very positive,0.7579240202903748,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1319,1319,USJ 6,Petronas USJ 6,Zashnain,4,"Good friendly service with clean petrol facilities. Location along the main road makes the petrol station to be quite convenient and accessible. It's best to use the SETEL app when filling up petrol, as its easier and you don't have to go to the cashier to pay. The public lavatory needs to be cleaned regularly - an unfortunately regular unhygienic situation in Malaysia.",1617027040,en,positive,0.7712709903717041,3.051542,101.583727,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1320,1320,SERENDAH,Petronas Serendah | Merit EZY,Rosli Bin Salim,3,"Needs to get the toilets cleaner and the surau, needs get get the sejadah, sarongs washed and cleaned.... The surau is unisex!",1674982591,en,neutral,0.3144775032997131,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1321,1321,SERENDAH,Petronas Serendah | Merit EZY,KHAIRI ABD RASHID,3,Its more than 1 month that both tyre pump machines not repaired. So frustating.,1659442183,en,very negative,0.744717538356781,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1322,1322,SERENDAH,Petronas Serendah | Merit EZY,Rozaimi Idris,3,"I also used to work as cashier at one petronas stn in kl, but this outlet cashier not so friendly",1651319472,en,negative,0.4190604984760284,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1323,1323,SERENDAH,Petronas Serendah | Merit EZY,Ibrahim Maulana,4,One of my favorites stop whenever I pass thru Serendah. Clean Surau and Clean toilets.,1643701537,en,very positive,0.9093344211578368,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1324,1324,SERENDAH,Petronas Serendah | Merit EZY,syed hidayat syed hassan,4,"Ok..served the purpose as a petrol station.
Shop item not as many choices but decently selection available.",1646222113,en,neutral,0.81160569190979,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1325,1325,SERENDAH,BHPetrol Serendah 2,Ismail Isa,4,Nice place a New restaurant is set up beside it. To help our veteran in the army,1653916720,en,positive,0.4941927790641784,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1326,1326,SERENDAH,BHPetrol Serendah 2,hanafiah baba,4,Friendly staff...good services,1647174991,en,positive,0.5318450927734375,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1327,1327,SERENDAH,BHPetrol Serendah 2,Muhammad Solleh Asmadi,4,"Good location, staff were nice",1561641220,en,positive,0.593866765499115,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1328,1328,SERENDAH,BHPetrol Serendah 2,Sanna Moorthy,5,Fill petrol and diesel,1703855180,af,very positive,0.3991100192070007,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1329,1329,SERENDAH,BHPetrol Serendah 2,Kamal Baihan,5,My favorite gas station,1531293457,en,very positive,0.9049772620201112,3.374804,101.615189,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1330,1330,USJ 4,Shell,Hema Dharini Tiruchelvam,1,The Malay Lady working at Shell as a cashier is extremely rude to customers. Firstly hire someone who has manners and customer service skills. Her experience is not applicable for the business. You can see her every mornings on weekdays!!,1693041839,en,very negative,0.5437760949134827,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1331,1331,USJ 4,Shell,Sha'azza A. Aziz,4,Typical petrol station with mini convenient store. Can also get coffee. Went there to wash my car. The roads at the entrance & vicinity can be congested when parents come to pick their children from the nearby primary school.,1679633449,en,neutral,0.4778501689434051,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1332,1332,USJ 4,Shell,J. Razin Shah,1,"The most horrible car wash place. The only place where you’d pay for a wash, and the car ends up dirtier than to begin with! 1st time was bad - still gave them a chance. 2nd time horrible - confirmed s*it hole. I highly advise to avoid this place at all cost",1685352550,en,very negative,0.9380932450294496,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1333,1333,USJ 4,Shell,Sharifah Zuraidah,5,There is a pisang goreng stall nearby.,1691737327,en,neutral,0.338767260313034,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1334,1334,USJ 4,Shell,Chee Zheng Yang,1,"Can’t claim Boost Petrol Wallet over here as they don’t use terminal to scan boost QR, they will ask to scan their MAE Duit Now QR instead.

The staff also never ask or provide receipt",1678230430,en,very negative,0.6222665309906006,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1335,1335,USJ 4,Petronas USJ 4,Simon Choy,5,"Dropped by to use the ATM services here. Asides from the bank ATMs, this station offers a full range of top up services for Touch n Go card reloads as well.

This place has relatively high traffic during most working hours and the fuel quality of the pump is good due to high turnover of fuel sold.",1680538992,en,positive,0.3740771412849426,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1336,1336,USJ 4,Petronas USJ 4,eileen see,5,"Went on a sunday morning, Hadi was very pleasant and helped me pump petrol without asking. Lovely. surprise. He was very polite and helpful. Thank you Hadi and PETRONAS.",1725769267,en,very positive,0.7513148784637451,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1337,1337,USJ 4,Petronas USJ 4,K C,4,I like this place very much. I fill in gas and buy snacks. But that have the cleanest toilets ever.. they take trouble to sanitiser their toilets properly . Good job,1724568041,en,positive,0.4938900470733642,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1338,1338,USJ 4,Petronas USJ 4,Helen Koh,4,"One of the best equipped petrol stations. You can find ATMs (Maybank, CIMB), many types of drinks and snacks. Many choices for take away breakfast.",1718604325,en,very positive,0.9055901169776917,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1339,1339,USJ 4,Petronas USJ 4,Chris Chop C.K,5,"Well! its a petrol station, the Convenience store here is one of the best, its even bigger the the 711 next to it. the best there are 2 ATM here. there are also 2 Tire air Pump Units here also, only thing is no car wash.",1707584990,en,very positive,0.4999945163726806,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1340,1340,USJ 4,MFI Enterprise,Myt Empuser,2,"An irresponsible delivery boy parked his bike amd occupied a pump though not picking petrol, enjoying his mobile sitting on a curb at the entrance to the shop. The pump attendant replied that he's afraid to ask him to remove his bike.",1667095176,en,very negative,0.4333379864692688,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1341,1341,USJ 4,MFI Enterprise,Adely Mahyuddin,5,Great crew,1649246786,en,very positive,0.6955106258392334,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1342,1342,USJ 4,MFI Enterprise,CK Tan,3,Easy access,1597139577,en,very positive,0.5324385762214661,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1343,1343,USJ 4,MFI Enterprise,محمد فضلي رشيد,3,Shell USJ 4 dealer,1522741486,it,very positive,0.3250466585159302,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1344,1344,USJ 4,MFI Enterprise,cheah yu xuan,5,,1697818524,unknown,positive,0.2846148908138275,3.056589,101.576897,"Petaling, Selangor","Petaling, Selangor",2418073.2247381657
1345,1345,RAWANG RSA,Petronas - Rawang RSA,Mohd Ammar,5,"Good petrol pump
Facilites tip top
Toilet good in numbers and cleaned too
Musolla, prayer room/ surau provided for user convenient
Have starbuck here
Can enjoy your drink if you need some rest after long journey
Pump attendants need to be place around the filling station to help people while refilling their fuel

Separation of motorcycle pump and car cam be considered especially during peak hour",1556527430,en,positive,0.6068258285522461,3.331399,101.55825,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1346,1346,RAWANG RSA,Petronas - Rawang RSA,nn nhna,5,"Great to have. Convenient for all highway user to purchase items, etc. Keep up the good work.",1712496383,en,very positive,0.6552364230155945,3.331399,101.55825,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1347,1347,RAWANG RSA,Petronas - Rawang RSA,ꈤ,1,"Bad traffic is reasonable on a long weekend. However, one of the pumps was not working properly, and excessive petrol leaked out as the handle did not stop when it was full.

The staff was not helpful at all, and they are rushing u off as soon as you're done without assisting with the issue I had faced.",1703045077,en,very negative,0.4852739870548248,3.331399,101.55825,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1348,1348,RAWANG RSA,Petronas - Rawang RSA,Eyza Azmi,4,"👍 comfortable
✌️ toilet facilities and prayer places
🫶 clean",1720940151,en,positive,0.4668842256069183,3.331399,101.55825,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1349,1349,RAWANG RSA,Petronas - Rawang RSA,Kamarudin Kassim,4,Stop for refuelling and for a quick snack before a long drive to Penang,1683611473,en,positive,0.3302726745605469,3.331399,101.55825,"Gombak, Selangor","Gombak, Selangor",1000296.2495960812
1350,1350,PANDAN INDAH,Petronas Pandan Indah,Irwan Reedzha Ishak,5,Somehow i love this pump station. They always have promotions in their mini mart. Sometimes i do my 'mini groceries' shopping there.. Mostly to stock up my drinks and chocolates supplies,1549792676,en,very positive,0.556797981262207,3.130176,101.752217,"W.P. Kuala Lumpur, W.P. Kuala Lumpur","W.P. Kuala Lumpur, W.P. Kuala Lumpur",2070414.337658169
